Deidentified Participant Number:,Profession in Health Care:,HHC Knowledge,ALC Knowledge,SLC Knowledge,Preparedness,Confidence,Health/Well-Being,Satisfaction with current communication between health care providers,HHC Knowledge,ALC Knowledge,SLC Knowledge,Preparedness,Confidence,Health/Well-Being,Satisfaction with current communication between health care providers
1,No,3,2,2,2,4,3,3,4,3,3,3,4,3,3
2,Yes,4,4,2,4,4,4,4,5,4,4,5,4,3,5
3,No,4,3,2,3,3,4,2,5,4,4,4,4,3,5
4,No,5,3,3,4,5,2,5,5,4,4,5,5,2,5
5,No,3,3,3,3,5,4,4,4,4,3,5,5,4,5
6,Yes,5,5,4,5,5,2,4,5,5,2,5,4,2,5
7,No,2,1,1,3,5,5,3,4,4,4,4,5,5,2
8,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5
9,No,3,3,3,2,5,5,5,3,3,3,5,5,5,5
10,No,1,2,1,4,4,5,3,4,4,4,4,5,4,3
11,No,5,5,5,5,5,5,4,5,5,5,5,5,5,5
12,No,3,3,3,4,5,4,4,3,3,3,4,4,5,5
13,No,2,1,1,1,5,3,5,4,4,3,4,5,3,4
14,Yes,3,2,1,5,5,4,3,4,4,2,5,5,5,4
15,Yes,3,3,3,4,5,5,4,4,4,4,5,4,4,4
16,Yes,1,1,1,3,5,4,3,2,2,4,3,5,4,2
17,No,4,4,4,5,5,5,5,3,3,3,5,5,5,5
18,Yes,4,4,3,3,5,3,5,5,5,5,5,4,4,4
19,No,3,3,2,3,4,3,5,5,5,5,5,4,4,4
20,Yes,4,4,3,4,4,4,4,4,4,3,4,5,4,5
21,Yes,5,3,2,4,5,4,4,4,3,3,4,3,2,5
22,Yes,5,3,3,2,5,5,5,4,3,3,5,5,4,4
23,No,4,3,2,3,4,2,3,4,3,3,5,4,2,4
24,No,3,4,4,3,5,4,5,4,3,3,3,4,3,5
25,Yes,3,4,4,3,5,4,4,3,4,3,5,5,5,4
26,Yes,2,1,1,3,5,4,2,4,4,4,4,5,3,2
27,No,2,1,1,2,5,4,3,4,4,4,4,4,4,4
28,No,1,1,1,1,5,3,4,3,3,2,5,5,3,2
29,No,1,1,1,1,5,4,5,4,4,4,5,5,4,2
30,No,1,1,1,1,5,3,2,2,2,2,2,5,3,3
31,No,1,1,1,4,5,4,5,4,2,2,4,4,4,4
32,No,1,1,1,2,3,4,5,2,1,1,2,3,1,4
33,No,2,2,1,2,5,3,3,3,3,3,5,5,3,4
34,No,3,3,1,2,4,2,5,4,4,4,5,5,3,4
35,No,3,1,5,4,5,3,4,5,5,5,5,5,4,4
36,No,3,1,1,3,5,4,5,3,3,1,2,5,4,4*
37,Yes,2,1,1,3,4,2,5,3,3,1,3,4,3,4
38,No,5,5,5,3,3,2,4,5,4,4,4,4,2,3
39,No,4,4,4,2,4,2,4,4,4,4,4,4,2,4
40,Yes,3,4,5,4,4,3,4,4,4,5,4,5,4,5
41,Yes,2,2,2,4,5,5,5,3,3,3,5,5,5,4
42,Yes,4,4,3,2,4,2,5,4,4,4,3,4,2,5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
